Word,Translation,Level,Batch,Pronunciation,IPA,PoS,Meaning,Example,Example Tran.,Synonyms,Variants,Castilian,Tags,,,,,,,,,
verde,green,1,4,,,,,,,,,,,,,,,,,,,
usted,you (formal),1,4,,,,,,,,,,,,,,,,,,,
ellos,they,1,4,,,,,,,,,,,,,,,,,,,
soy,to be,2,1,,,,,,,,,,,,,,,,,,,
estar,to be,2,1,,,,,,,,,,,,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
tener,to have,2,1,,,,,,,,,,,,,,,,,,,
querer,to want,2,1,,,,,,,,,,,,,,,,,,,
poder,to be able to,2,1,,,,,,,,,,,,,,,,,,,
comer,to eat,2,1,,,,,,,,,,,,,,,,,,,
beber,to drink,2,1,,,,,,,,,,,,,,,,,,,
aprender,to learn,2,1,,,,,,,,,,,,,,,,,,,
vender,to sell,2,1,,,,,,,,,,,,,,,,,,,
leer,to read,2,1,,,,,,,,,,,,,,,,,,,
comprender,to understand,2,1,,,,,,,,,,,,,,,,,,,
creer,to belive,2,1,,,,,,,,,,,,,,,,,,,
grande,big,2,2,,,,,,,,,,,,,,,,,,,
pequeno,small,2,2,,,,,,,,,,,,,,,,,,,
bueno,good,2,2,,,,,,,,,,,,,,,,,,,
malo,bad,2,2,,,,,,,,,,,,,,,,,,,
bonito,pretty,2,2,,,,,,,,,,,,,,,,,,,
feo,ugly,2,2,,,,,,,,,,,,,,,,,,,
nuevo,new,2,2,,,,,,,,,,,,,,,,,,,
viejo,old,2,2,,,,,,,,,,,,,,,,,,,
facil,easy,2,2,,,,,,,,,,,,,,,,,,,
dificil,difficult,2,2,,,,,,,,,,,,,,,,,,,
poco,few,2,2,,,,,,,,,,,,,,,,,,,
mucho,a lot,2,2,,,,,,,,,,,,,,,,,,,
el animal,animal,2,3,,,,,,,,,,,,,,,,,,,
el perro,dog,2,3,,,,,,,,,,,,,,,,,,,
el gato,cat,2,3,,,,,,,,,,,,,,,,,,,
el pez,fish,2,3,,,,,,,,,,,,,,,,,,,
el caballo,horse,2,3,,,,,,,,,,,,,,,,,,,
la vaca,cow,2,3,,,,,,,,,,,,,,,,,,,
el pollo,chicken,2,3,,,,,,,,,,,,,,,,,,,
la cabeza,head,2,3,,,,,,,,,,,,,,,,,,,
la mano,hand,2,3,,,,,,,,,,,,,,,,,,,
el pie,foot,2,3,,,,,,,,,,,,,,,,,,,
el cuerpo,body,2,3,,,,,,,,,,,,,,,,,,,
el pajaro,bird,2,3,,,,,,,,,,,,,,,,,,,
la casa,house,2,4,,,,,,,,,,,,,,,,,,,
el edificio,building,2,4,,,,,,,,,,,,,,,,,,,
la escuela,school,2,4,,,,,,,,,,,,,,,,,,,
el hotel,hotel,2,4,,,,,,,,,,,,,,,,,,,
el banco,bank,2,4,,,,,,,,,,,,,,,,,,,
el restaurante,restaurant,2,4,,,,,,,,,,,,,,,,,,,
el mercado,market,2,4,,,,,,,,,,,,,,,,,,,
la tienda,store,2,4,,,,,,,,,,,,,,,,,,,
el parque,park,2,4,,,,,,,,,,,,,,,,,,,
la iglesia,church,2,4,,,,,,,,,,,,,,,,,,,
la oficina,office,2,4,,,,,,,,,,,,,,,,,,,
la biblioteca,library,2,4,,,,,,,,,,,,,,,,,,,
el lunes,Sunday,3,1,,,,,,,,,,,,,,,,,,,
el martes,Monday,3,1,,,,,,,,,,,,,,,,,,,
el martes,Tuesday,3,1,,,,,,,,,,,,,,,,,,,
el miercoles,Wednesday,3,1,,,,,,,,,,,,,,,,,,,
el jueves,Thursday,3,1,,,,,,,,,,,,,,,,,,,
el viernes,Friday,3,1,,,,,,,,,,,,,,,,,,,
el sabado,Saturday,3,1,,,,,,,,,,,,,,,,,,,
el dia,day,3,1,,,,,,,,,,,,,,,,,,,
la semana,week,3,1,,,,,,,,,,,,,,,,,,,
hacer,"to do, make",3,1,,,,,,,,,,,,,,,,,,,
correr,to run,3,1,,,,,,,,,,,,,,,,,,,
ahora,now,3,1,,,,,,,,,,,,,,,,,,,
la mesa,table,3,2,,,,,,,,,,,,,,,,,,,
la silla,chair,3,2,,,,,,,,,,,,,,,,,,,
la cama,bed,3,2,,,,,,,,,,,,,,,,,,,
la puerta,door,3,2,,,,,,,,,,,,,,,,,,,
la ventana,window,3,2,,,,,,,,,,,,,,,,,,,
la cocina,kitchen,3,2,,,,,,,,,,,,,,,,,,,
el baño,bathroom,3,2,,,,,,,,,,,,,,,,,,,
el espejo,mirror,3,2,,,,,,,,,,,,,,,,,,,
la llave,key,3,2,,,,,,,,,,,,,,,,,,,
el cuarto,room,3,2,,,,,,,,,,,,,,,,,,,
el suelo,floor,3,2,,,,,,,,,,,,,,,,,,,
el techo,ceiling,3,2,,,,,,,,,,,,,,,,,,,
la comida,food,3,3,,,,,,,,,,,,,,,,,,,
el agua,water,3,3,,,,,,,,,,,,,,,,,,,
la leche,milk,3,3,,,,,,,,,,,,,,,,,,,
el café,coffee,3,3,,,,,,,,,,,,,,,,,,,
el té,tea,3,3,,,,,,,,,,,,,,,,,,,
el jugo,juice,3,3,,,,,,,,,,,,,,,,,,,
el pan,bread,3,3,,,,,,,,,,,,,,,,,,,
el arroz,rice,3,3,,,,,,,,,,,,,,,,,,,
la sopa,soap,3,3,,,,,,,,,,,,,,,,,,,
el queso,cheese,3,3,,,,,,,,,,,,,,,,,,,
el azūcar,sugar,3,3,,,,,,,,,,,,,,,,,,,
la sal,salt,3,3,,,,,,,,,,,,,,,,,,,
el transporte,transporation,3,4,,,,,,,,,,,,,,,,,,,
el carro,car,3,4,,,,,,,,,,,,,,,,,,,
el autobús,bus,3,4,,,,,,,,,,,,,,,,,,,
el tren,train,3,4,,,,,,,,,,,,,,,,,,,
el avión,airplan,3,4,,,,,,,,,,,,,,,,,,,
el taxi,taxi,3,4,,,,,,,,,,,,,,,,,,,
la bicicleta,bicycle,3,4,,,,,,,,,,,,,,,,,,,
la moto,motorcycle,3,4,,,,,,,,,,,,,,,,,,,
el boleto,ticket,3,4,,,,,,,,,,,,,,,,,,,
la estación,station,3,4,,,,,,,,,,,,,,,,,,,
el aeropuerto,airport,3,4,,,,,,,,,,,,,,,,,,,
el viaje,trip,3,4,,,,,,,,,,,,,,,,,,,
enero,January,4,1,,,,,,,,,,,,,,,,,,,
febrero,February,4,1,,,,,,,,,,,,,,,,,,,
marzo,March,4,1,,,,,,,,,,,,,,,,,,,
abril,April,4,1,,,,,,,,,,,,,,,,,,,
mayo,May,4,1,,,,,,,,,,,,,,,,,,,
junio,June,4,1,,,,,,,,,,,,,,,,,,,
julio,July,4,1,,,,,,,,,,,,,,,,,,,
agosto,August,4,1,,,,,,,,,,,,,,,,,,,
septiembre,September,4,1,,,,,,,,,,,,,,,,,,,
octubre,October,4,1,,,,,,,,,,,,,,,,,,,
noviembre,November,4,1,,,,,,,,,,,,,,,,,,,
diciembre,December,4,1,,,,,,,,,,,,,,,,,,,
la dirección,direction/address,4,2,,,,,,,,,,,,,,,,,,,
la izquierda,left,4,2,,,,,,,,,,,,,,,,,,,
la derecha,right,4,2,,,,,,,,,,,,,,,,,,,
el centro,center/downtown,4,2,,,,,,,,,,,,,,,,,,,
el norte,north,4,2,,,,,,,,,,,,,,,,,,,
el sur,south,4,2,,,,,,,,,,,,,,,,,,,
el este,east,4,2,,,,,,,,,,,,,,,,,,,
el oester,west,4,2,,,,,,,,,,,,,,,,,,,
cerca,nearby/close,4,2,,,,,,,,,,,,,,,,,,,
lejos,far,4,2,,,,,,,,,,,,,,,,,,,
la respuesta,answer,4,2,,,,,,,,,,,,,,,,,,,
la pregunta,question,4,2,,,,,,,,,,,,,,,,,,,
caminar,to walk,4,3,,,,,,,,,,,,,,,,,,,
trabajar,to work,4,3,,,,,,,,,,,,,,,,,,,
estudiar,to study,4,3,,,,,,,,,,,,,,,,,,,
usar,to use,4,3,,,,,,,,,,,,,,,,,,,
ayudar,to help,4,3,,,,,,,,,,,,,,,,,,,
comprar,to buy,4,3,,,,,,,,,,,,,,,,,,,
entrar,to enter,4,3,,,,,,,,,,,,,,,,,,,
llamar,to call,4,3,,,,,,,,,,,,,,,,,,,
pagar,to pay,4,3,,,,,,,,,,,,,,,,,,,
tomar,to take/drink,4,3,,,,,,,,,,,,,,,,,,,
llegar,to arrive,4,3,,,,,,,,,,,,,,,,,,,
cocinar,to cook,4,3,,,,,,,,,,,,,,,,,,,
el menú,menu,4,4,,,,,,,,,,,,,,,,,,,
la cuenta,bill/check,4,4,,,,,,,,,,,,,,,,,,,
el mesero,waiter,4,4,,,,,,,,,,,,,,,,,,,
el cliente,customer,4,4,,,,,,,,,,,,,,,,,,,
la orden,order,4,4,,,,,,,,,,,,,,,,,,,
el plato,plate/dish,4,4,,,,,,,,,,,,,,,,,,,
el vaso,glass/cup,4,4,,,,,,,,,,,,,,,,,,,
la taza,cup/muug,4,4,,,,,,,,,,,,,,,,,,,
el tenedor,fork,4,4,,,,,,,,,,,,,,,,,,,
la cuchara,spoon,4,4,,,,,,,,,,,,,,,,,,,
el cuchillo,knife,4,4,,,,,,,,,,,,,,,,,,,
la bebida,drink/beverage,4,4,,,,,,,,,,,,,,,,,,,
el tiempo,time/weather,5,1,,,,,,,,,,,,,,,,,,,
la hora,hour/time,5,1,,,,,,,,,,,,,,,,,,,
el minuto,minute,5,1,,,,,,,,,,,,,,,,,,,
el segundo,second,5,1,,,,,,,,,,,,,,,,,,,
la tarde,late/afternoon,5,1,,,,,,,,,,,,,,,,,,,
la noche,night,5,1,,,,,,,,,,,,,,,,,,,
la mañana,morning/tomorrow,5,1,,,,,,,,,,,,,,,,,,,
hoy,today,5,1,,,,,,,,,,,,,,,,,,,
ayer,yesterday,5,1,,,,,,,,,,,,,,,,,,,
el mes,month,5,1,,,,,,,,,,,,,,,,,,,
el año,year,5,1,,,,,,,,,,,,,,,,,,,
la decena,group of ten,5,1,,,,,,,,,,,,,,,,,,,
once,eleven,5,2,,,,,,,,,,,,,,,,,,,
doce,twelve,5,2,,,,,,,,,,,,,,,,,,,
trece,thirteen,5,2,,,,,,,,,,,,,,,,,,,
catorce,fourteen,5,2,,,,,,,,,,,,,,,,,,,
quince,fifteen,5,2,,,,,,,,,,,,,,,,,,,
dieciséis,sixteen,5,2,,,,,,,,,,,,,,,,,,,
diecisiete,seventeen,5,2,,,,,,,,,,,,,,,,,,,
dieciocho,eighteen,5,2,,,,,,,,,,,,,,,,,,,
diecinueve,nineteen,5,2,,,,,,,,,,,,,,,,,,,
viente,twenty,5,2,,,,,,,,,,,,,,,,,,,
vientiuno,twenty-one,5,2,,,,,,,,,,,,,,,,,,,
contar,to count,5,2,,,,,,,,,,,,,,,,,,,
feliz,happy,5,3,,,,,,,,,,,,,,,,,,,
triste,sad,5,3,,,,,,,,,,,,,,,,,,,
enojado,angry,5,3,,,,,,,,,enfadado,,,,,,,,,,
cansado,tired,5,3,,,,,,,,,,,,,,,,,,,
emocionada,excited,5,3,,,,,,,,,,,,,,,,,,,
inteligente,intelligent,5,3,,,,,,,,,,,,,,,,,,,
fuerte,strong,5,3,,,,,,,,,,,,,,,,,,,
débil,weak,5,3,,,,,,,,,,,,,,,,,,,
alto,tall,5,3,,,,,,,,,,,,,,,,,,,
corto,short,5,3,,,,,,,,,,,,,,,,,,,
joven,young,5,3,,,,,,,,,,,,,,,,,,,
viejo,old,5,3,,,,,,,,,,,,,,,,,,,
abrir,to open,5,4,,,,,,,,,,,,,,,,,,,
vivir,to live,5,4,,,,,,,,,,,,,,,,,,,
escribir,to write,5,4,,,,,,,,,,,,,,,,,,,
recibir,to receive,5,4,,,,,,,,,,,,,,,,,,,
subir,to go up/upload,5,4,,,,,,,,,,,,,,,,,,,
decidir,to decide,5,4,,,,,,,,,,,,,,,,,,,
compartir,to share,5,4,,,,,,,,,,,,,,,,,,,
cumplir,to complete/turn an age,5,4,,,,,,,,,,,,,,,,,,,
describir,to describe,5,4,,,,,,,,,,,,,,,,,,,
permitir,to allow,5,4,,,,,,,,,,,,,,,,,,,
partir,to leave,5,4,,,,,,,,,,,,,,,,,,,
el cumpleaños,birthday,5,4,,,,,,,,,,,,,,,,,,,
el dinero,money,6,1,,,,,,,,,,,,,,,,,,,
el dólar,dollar,6,1,,,,,,,,,,,,,,,,,,,
el peso,peso,6,1,,,,,,,,,,,,,,,,,,,
la mondea,coin,6,1,,,,,,,,,,,,,,,,,,,
la tarjeta,card,6,1,,,,,,,,,,,,,,,,,,,
el efectivo,cash,6,1,,,,,,,,,,,,,,,,,,,
el precio,price,6,1,,,,,,,,,,,,,,,,,,,
el cambio,change,6,1,,,,,,,,,,,,,,,,,,,
barato,cheap,6,1,,,,,,,,,,,,,,,,,,,
caro,expensive,6,1,,,,,,,,,,,,,,,,,,,
la compra,purchase,6,1,,,,,,,,,,,,,,,,,,,
la venta,sale,6,1,,,,,,,,,,,,,,,,,,,
el trabajo,job/work,6,2,,,,,,,,,,,,,,,,,,,
el jefe,boss,6,2,,,,,,,,,,,,,,,,,,,
el empleado,employee,6,2,,,,,,,,,,,,,,,,,,,
el médico,doctor,6,2,,,,,,,,,,,,,,,,,,,
el enfermero,nurse,6,2,,,,,,,,,,,,,,,,,,,
el ingeniero,engineer,6,2,,,,,,,,,,,,,,,,,,,
el abogado,lawyer,6,2,,,,,,,,,,,,,,,,,,,
el secretario,secretary,6,2,,,,,,,,,,,,,,,,,,,
el bombero,firefighter,6,2,,,,,,,,,,,,,,,,,,,
el cocinero,chef/cook,6,2,,,,,,,,,,,,,,,,,,,
la reunión,meeting,6,2,,,,,,,,,,,,,,,,,,,
dar,to give,6,2,,,,,,,,,,,,,,,,,,,
la clase,class,6,3,,,,,,,,,,,,,,,,,,,
el profesor,teacher,6,3,,,,,,,,,,,,,,,,,,,
el maestro,teacher,6,3,,,,,,,,,,,,,,,,,,,
el estudiante,student,6,3,,,,,,,,,,,,,,,,,,,
el libro,book,6,3,,,,,,,,,,,,,,,,,,,
el lápiz,pencil,6,3,,,,,,,,,,,,,,,,,,,
la pluma,pen,6,3,,,,,,,,,,,,,,,,,,,
el examen,exam,6,3,,,,,,,,,,,,,,,,,,,
la tarea,homework,6,3,,,,,,,,,,,,,,,,,,,
la ciencia,science,6,3,,,,,,,,,,,,,,,,,,,
el cuaderno,notebook,6,3,,,,,,,,,,,,,,,,,,,
decir,to say/tell,6,3,,,,,,,,,,,,,,,,,,,
,,6,4,,,,,,,,,,,,,,,,,,,
,,6,4,,,,,,,,,,,,,,,,,,,
,,6,4,,,,,,,,,,,,,,,,,,,
,,6,4,,,,,,,,,,,,,,,,,,,
,,6,4,,,,,,,,,,,,,,,,,,,
,,6,4,,,,,,,,,,,,,,,,,,,
,,6,4,,,,,,,,,,,,,,,,,,,
,,6,4,,,,,,,,,,,,,,,,,,,
,,6,4,,,,,,,,,,,,,,,,,,,
,,6,4,,,,,,,,,,,,,,,,,,,
,,6,4,,,,,,,,,,,,,,,,,,,
,,6,4,,,,,,,,,,,,,,,,,,,
la ropa,clothing,7,1,,,,,,,,,,,,,,,,,,,
la camisa,shirt,7,1,,,,,,,,,,,,,,,,,,,
la camiseta,T-shirt,7,1,,,,,,,,,,,,,,,,,,,
los pantalones,pants,7,1,,,,,,,,,,,,,,,,,,,
los zapatos,shoes,7,1,,,,,,,,,,,,,,,,,,,
los calcetines,socks,7,1,,,,,,,,,,,,,,,,,,,
el vestido,dress,7,1,,,,,,,,,,,,,,,,,,,
la falda,skirt,7,1,,,,,,,,,,,,,,,,,,,
la chaqueta,jacket,7,1,,,,,,,,,,,,,,,,,,,
el sombrero,hat,7,1,,,,,,,,,,,,,,,,,,,
los lentes,glasses,7,1,,,,,,,,,,,,,,,,,,,
la bolsa,bag/purse,7,1,,,,,,,,,,,,,,,,,,,
la ciudad,city,7,2,,,,,,,,,,,,,,,,,,,
la calle,street,7,2,,,,,,,,,,,,,,,,,,,
el barrio,neighborhood,7,2,,,,,,,,,,,,,,,,,,,
la esquina,corner,7,2,,,,,,,,,,,,,,,,,,,
el puente,bridge,7,2,,,,,,,,,,,,,,,,,,,
la farmacia,pharmacy,7,2,,,,,,,,,,,,,,,,,,,
el hospital,hospital,7,2,,,,,,,,,,,,,,,,,,,
el museo,museum,7,2,,,,,,,,,,,,,,,,,,,
el cine,movie theater,7,2,,,,,,,,,,,,,,,,,,,
la universidad,university,7,2,,,,,,,,,,,,,,,,,,,
el estadio,stadium,7,2,,,,,,,,,,,,,,,,,,,
el pueblo,town,7,2,,,,,,,,,,,,,,,,,,,
salir,to leave/go out,7,3,,,,,,,,,,,,,,,,,,,
venir,to come,7,3,,,,,,,,,,,,,,,,,,,
volver,to return,7,3,,,,,,,,,,,,,,,,,,,
bajar,to go down,7,3,,,,,,,,,,,,,,,,,,,
pasar,to pass,7,3,,,,,,,,,,,,,,,,,,,
manejar,to drive,7,3,,,,,,,,,,,,,,,,,,,
seguir,to follow/continue,7,3,,,,,,,,,,,,,,,,,,,
mirar,to look,7,3,,,,,,,,,,,,,,,,,,,
avanzar,to move forward,7,3,,,,,,,,,,,,,,,,,,,
jugar,to play,7,3,,,,,,,,,,,,,,,,,,,
saltar,to jump,7,3,,,,,,,,,,,,,,,,,,,
llevar,to carry/bring,7,3,,,,,,,,,,,,,,,,,,,
el recibo,receipt,7,4,,,,,,,,,,,,,,,,,,,
la marca,brand,7,4,,,,,,,,,,,,,,,,,,,
elegir,to choose,7,4,,,,,,,,,,,,,,,,,,,
el carrito,cart,7,4,,,,,,,,,,,,,,,,,,,
el maquillaje,makeup,7,4,,,,,,,,,,,,,,,,,,,
la talla,size,7,4,,,,,,,,,,,,,,,,,,,
el tamaño,size,7,4,,,,,,,,,,,,,,,,,,,
el producto,product,7,4,,,,,,,,,,,,,,,,,,,
la cerveza,beer,7,4,,,,,,,,,,,,,,,,,,,
el centro comercial,mall,7,4,,,,,,,,,,,,,,,,,,,
cuanto,how much,7,4,,,,,,,,,,,,,,,,,,,
el descuento,discount,7,4,,,,,,,,,,,,,,,,,,,
treinta,thirty,8,1,,,,,,,,,,,,,,,,,,,
treinta y uno,thirty-one,8,1,,,,,,,,,,,,,,,,,,,
cuarenta,forty,8,1,,,,,,,,,,,,,,,,,,,
cincuenta,fifty,8,1,,,,,,,,,,,,,,,,,,,
sesenta,sixty,8,1,,,,,,,,,,,,,,,,,,,
setenta,seventy,8,1,,,,,,,,,,,,,,,,,,,
ochenta,eighty,8,1,,,,,,,,,,,,,,,,,,,
noventa,ninety,8,1,,,,,,,,,,,,,,,,,,,
cien,one hundred,8,1,,,,,,,,,,,,,,,,,,,
mil,thousand,8,1,,,,,,,,,,,,,,,,,,,
million,millón,8,1,,,,,,,,,,,,,,,,,,,
ciento uno,one hundred one,8,1,,,,,,,,,,,,,,,,,,,
la verdura,vegetable,8,2,,,,,,,,,,,,,,,,,,,
la papa,potato,8,2,,,,,,,,,,,,,,,,,,,
el tomate,tomato,8,2,,,,,,,,,,,,,,,,,,,
la cebolla,onion,8,2,,,,,,,,,,,,,,,,,,,
la zanahoria,carrot,8,2,,,,,,,,,,,,,,,,,,,
el maíz,corn,8,2,,,,,,,,,,,,,,,,,,,
la lechuga,lettuce,8,2,,,,,,,,,,,,,,,,,,,
el ajo,garlic,8,2,,,,,,,,,,,,,,,,,,,
el chile,chili pepper,8,2,,,,,,,,,,,,,,,,,,,
el frijol,bean,8,2,,,,,,,,,,,,,,,,,,,
el aguacate,avocado,8,2,,,,,,,,,,,,,,,,,,,
la calabaza,squash/pumpkin,8,2,,,,,,,,,,,,,,,,,,,
el clima,weather/climate,8,3,,,,,,,,,,,,,,,,,,,
el sol,sun,8,3,,,,,,,,,,,,,,,,,,,
la lluvia,rain,8,3,,,,,,,,,,,,,,,,,,,
el viento,wind,8,3,,,,,,,,,,,,,,,,,,,
la nube,cloud,8,3,,,,,,,,,,,,,,,,,,,
la tormenta,storm,8,3,,,,,,,,,,,,,,,,,,,
el calor,heat,8,3,,,,,,,,,,,,,,,,,,,
el friío,cold,8,3,,,,,,,,,,,,,,,,,,,
soleado,sunny,8,3,,,,,,,,,,,,,,,,,,,
nublado,cloudy,8,3,,,,,,,,,,,,,,,,,,,
seco,dry,8,3,,,,,,,,,,,,,,,,,,,
fresco,cool/fresh,8,3,,,,,,,,,,,,,,,,,,,
el pasaporte,passport,8,4,,,,,,,,,,,,,,,,,,,
la maleta,suitcase,8,4,,,,,,,,,,,,,,,,,,,
el equipaje,luggage,8,4,,,,,,,,,,,,,,,,,,,
el vuelo,flight,8,4,,,,,,,,,,,,,,,,,,,
la reservación,reservation,8,4,,,,,,,,,,,,,,,,,,,
el destino,destiny,8,4,,,,,,,,,,,,,,,,,,,
la llegada,arrival,8,4,,,,,,,,,,,,,,,,,,,
el païs,country,8,4,,,,,,,,,,,,,,,,,,,
el Estado,state,8,4,,,,,,,,,,,,,,,,,,,
el continente,continent,8,4,,,,,,,,,,,,,,,,,,,
la salida,departure/exit,8,4,,,,,,,,,,,,,,,,,,,
ver,to see,8,4,,,,,,,,,,,,,,,,,,,
el ojo,eye,9,1,,,,,,,,,,,,,,,,,,,
la nariz,nose,9,1,,,,,,,,,,,,,,,,,,,
la boca,mouth,9,1,,,,,,,,,,,,,,,,,,,
la oreja,ear,9,1,,,,,,,,,,,,,,,,,,,
el brazo,arm,9,1,,,,,,,,,,,,,,,,,,,
la pierna,leg,9,1,,,,,,,,,,,,,,,,,,,
el dedo,finger/toe,9,1,,,,,,,,,,,,,,,,,,,
el cuello,neck,9,1,,,,,,,,,,,,,,,,,,,
la espalada,back,9,1,,,,,,,,,,,,,,,,,,,
es estómago,stomach,9,1,,,,,,,,,,,,,,,,,,,
el carazón,heart,9,1,,,,,,,,,,,,,,,,,,,
el cabello,la cara,9,1,,,,,,,,,,,,,,,,,,,
la carne,meat,9,2,,,,,,,,,,,,,,,,,,,
el pescado,fish,9,2,,,,,,,,,,,,,,,,,,,
los mariscos,seafood,9,2,,,,,,,,,,,,,,,,,,,
el tocino,bacon,9,2,,,,,,,,,,,,,,,,,,,
la salchicha,sausage,9,2,,,,,,,,,,,,,,,,,,,
el jamón,ham,9,2,,,,,,,,,,,,,,,,,,,
la hamburguesa,hamburger,9,2,,,,,,,,,,,,,,,,,,,
la carne de res,beef,9,2,,,,,,,,,,,,,,,,,,,
la carne de cerdo,pork,9,2,,,,,,,,,,,,,,,,,,,
el chorizo,chorizo/sausage,9,2,,,,,,,,,,,,,,,,,,,
la costilla,rib,9,2,,,,,,,,,,,,,,,,,,,
el pavo,turkey,9,2,,,,,,,,,,,,,,,,,,,
el árbol,tree,9,3,,,,,,,,,,,,,,,,,,,
el lago,lake,9,3,,,,,,,,,,,,,,,,,,,
el mar,sea,9,3,,,,,,,,,,,,,,,,,,,
la planta,plant,9,3,,,,,,,,,,,,,,,,,,,
la flor,flower,9,3,,,,,,,,,,,,,,,,,,,
el bosque,forest,9,3,,,,,,,,,,,,,,,,,,,
el campo,countryside/field,9,3,,,,,,,,,,,,,,,,,,,
la tierra,earth/land,9,3,,,,,,,,,,,,,,,,,,,
la montaña,mountain ,9,3,,,,,,,,,,,,,,,,,,,
la playa,beach,9,3,,,,,,,,,,,,,,,,,,,
el río,river,9,3,,,,,,,,,,,,,,,,,,,
la naturaleza,nature,9,3,,,,,,,,,,,,,,,,,,,
el juego,game,9,4,,,,,,,,,,,,,,,,,,,
la fiesta,party,9,4,,,,,,,,,,,,,,,,,,,
el evento,event,9,4,,,,,,,,,,,,,,,,,,,
la música,music,9,4,,,,,,,,,,,,,,,,,,,
la película,movie,9,4,,,,,,,,,,,,,,,,,,,
la canción,song,9,4,,,,,,,,,,,,,,,,,,,
el deporte,sport,9,4,,,,,,,,,,,,,,,,,,,
bailar,to dance,9,4,,,,,,,,,,,,,,,,,,,
dibujar,to draw,9,4,,,,,,,,,,,,,,,,,,,
primo,first,9,4,,,,,,,,,,,,,,,,,,,
tercero,third,9,4,,,,,,,,,,,,,,,,,,,
cuarto,fourth,9,4,,,,,,,,,,,,,,,,,,,
la fruta,fruit,10,1,,,,,,,,,,,,,,,,,,,
la manzana,apple,10,1,,,,,,,,,,,,,,,,,,,
el plátano,banana,10,1,,,,,,,,,,,,,,,,,,,
la naranja,orange,10,1,,,,,,,,,,,,,,,,,,,
la uva,grape ,10,1,,,,,,,,,,,,,,,,,,,
la fresa,strawberry,10,1,,,,,,,,,,,,,,,,,,,
el limón,lemon,10,1,,,,,,,,,,,,,,,,,,,
la lima,lime,10,1,,,,,,,,,,,,,,,,,,,
